,regiao,forecast_quantity
2,Canada,4956.0
1,California,2190.0
25,Texas,2163.0
6,France,1206.0
29,Washington,1113.0
26,United Kingdom,978.0
3,Colorado,915.0
19,New York,585.0
17,New Hampshire,576.0
12,Michigan,471.0
15,Missouri,453.0
5,Florida,450.0
24,Tennessee,405.0
0,Arizona,399.0
18,New Mexico,396.0
4,Connecticut,291.0
28,Virginia,285.0
16,Nevada,276.0
7,Georgia,273.0
31,Wyoming,264.0
27,Utah,237.0
13,Minnesota,171.0
14,Mississippi,165.0
30,Wisconsin,165.0
10,Maine,162.0
20,North Carolina,138.0
9,Indiana,75.0
21,Ohio,75.0
23,South Carolina,21.0
22,Oregon,21.0
8,Illinois,15.0
11,Massachusetts,15.0
